DT,RHOB,E_Lab
56.546251837506375,2.5375760307279385,15.50648629243287
48.8570082573675,2.4612751818588667,33.19156799254463
62.49256534005026,2.695810407004314,21.65414249564093
59.894120960682294,2.727341333024274,28.78613241880474
71.59766182025504,2.5264904152024568,23.124590623948134
62.385221908019965,2.700097391057006,17.114526048863464
53.36083173274419,2.210535042877541,23.907334070844406
47.23073179814786,2.400204531849625,27.223897029330026
64.9075023612717,2.502757596596612,27.44257289004893
57.45922303242339,2.525194791713553,23.26631152053794
59.40802677795027,2.736109229222638,25.38647104391378
55.13095279894421,2.475540023943531,22.16712642419849
44.001015910680785,2.564782699808273,29.147262041224216
67.26592553922444,2.6365306860337854,23.055143151380758
63.86383944131504,2.4991887321042934,20.950035490641334
61.775027606576806,2.2014942076313577,26.66682902535002
65.31223343384856,2.609614484764237,19.5567187913309
50.03354551980112,2.2557820076612063,37.40708916393352
75.751032573229,2.486440582751381,21.03733428607331
57.45080858759737,2.845500001080823,18.398549989917598
62.878143221694295,2.444439675398429,18.08814329195093
65.96936828311664,2.6287079260691053,25.38470973543775
38.201127437921,2.4559910705094827,31.530309937618156
73.40303090671125,2.449685529489063,19.94702975934991
60.44986160774877,2.600485494544837,21.87369426318833
46.40603634152008,2.70186380457967,33.62258958461028
57.10914326050057,2.533121675857117,22.669675617899976
81.83800013984079,2.5402964897297875,17.041210961001607
58.08920791249116,2.1340120975296486,24.748399445059583
48.608332687482005,2.514295301765555,19.200157975497667
58.68078824301507,2.3459240498254275,20.082803213617435
63.08297905796822,2.6359171520604914,23.253269595279804
55.03707324662442,2.530259862673044,20.287575822953755
55.17654032598829,2.7215389901722378,36.250027711221655
69.44860423212253,2.2880197744196042,20.136213043202375
66.6696246168485,2.4829390332738055,15.410915359488508
59.953011085622116,2.8270503135504073,24.33286309045819
59.44764910389033,2.5999000590293764,22.606988360537706
61.17083087361222,2.4352482417521166,19.190566395506846
56.53291598168064,2.438029940481522,26.8921980268461
59.918981770565644,2.5898430857394406,26.993055576805588
61.09212560722424,2.768710006679556,24.480815582927075
71.81408756557474,2.454920551992003,23.26305422063087
50.66815712145663,2.6315556129669657,37.62770000159003
67.52028585361278,2.607838468907932,23.502802779432468
73.38233267251348,2.543909833954114,19.832941507897722
