GR,RES,POR,True_Lithology
44.96714153011233,21.788936801741418,17.216717023616898,Sand
38.61735698828815,22.80392263184117,20.201874931138683,Sand
46.47688538100692,25.415256215876383,22.01573109915455,Sand
55.23029856408026,25.269010260174515,22.140941781294227,Sand
37.658466252766644,13.111653160214544,20.649803585562267,Sand
37.6586304305082,15.310874800424386,23.868549797042498,Sand
55.79212815507391,22.5751763360433,18.797138711852217,Sand
47.67434729152909,22.568929754561044,21.57286154493612,Sand
35.30525614065048,22.575238431530238,22.360886895135696,Sand
45.42560043585965,39.26365745327361,23.543316502176246,Sand
35.365823071875376,22.854452553465833,24.13484463426667,Sand
35.34270246429743,25.677828200902994,18.626073724486393,Sand
42.41962271566034,24.770008817466014,17.397657487793133,Sand
20.86719755342202,23.25695625652899,25.83303046569553,Sand
22.750821674869673,18.42365377679827,22.996942035938776,Sand
34.37712470759027,23.794846102466337,19.75454039033034,Sand
29.87168879665576,16.13587392731214,26.653455926567567,Sand
43.142473325952736,18.815906966299956,22.347023902878576,Sand
30.91975924478789,17.573182260854484,25.53789155219148,Sand
25.876962986647086,20.409370696931614,22.202555444230327,Sand
54.65648768921554,31.573292833367542,28.18224377464596,Sand
37.74223699513465,10.66367403704126,27.266022527329614,Sand
40.67528204687924,23.43130095187257,21.253107554562778,Sand
25.752518137865433,11.936420644051742,24.914712852863065,Sand
34.556172754748175,17.640340671052833,23.936127848755444,Sand
41.10922589709866,25.444752984836832,26.105894672597046,Sand
28.490064225776973,20.321400095477316,19.105229618259685,Sand
43.75698018345672,14.611276110353469,24.05815437999532,Sand
33.99361310081195,16.42348145370016,25.175273460548762,Sand
37.083062502067236,23.39798874467338,16.723781540730656,Sand
33.98293387770603,16.34816684141432,18.450224462002673,Sand
58.522781845089376,21.082292947909874,15.882303466719698,Sand
39.86502775262066,20.22785919951907,21.191779496666328,Sand
29.422890710440996,16.741998261970913,24.152626767387886,Sand
48.225449121031886,30.719720446626628,26.507071156288085,Sand
27.791563500289776,23.169595111590056,22.222284341259325,Sand
42.08863595004755,9.874287066711965,26.885846636713875,Sand
20.403298761202244,20.93227157384714,17.859695625355325,Sand
26.718139511015693,16.69106767615806,16.889852681934535,Sand
41.96861235869123,24.26216667398112,21.833356903310143,Sand
47.38466579995411,16.037396307836495,23.152196346817924,Sand
41.7136828118997,19.426317792665504,21.90191575571772,Sand
38.843517176117594,22.524936394902287,15.79767369988037,Sand
36.98896304410711,24.328775970850607,21.732639881461633,Sand
25.214780096325725,13.998517964721119,18.08659149848544,Sand
32.801557916052914,18.327493820795258,24.009017646490115,Sand
35.393612290402125,17.62527344419522,23.099794738290544,Sand
50.57122226218915,16.73335383713144,19.180360641017934,Sand
43.43618289568462,28.827271201405484,20.45839924798992,Sand
22.36959844637266,22.024908554804778,18.822359434333144,Sand
43.24083969394795,13.695580228324774,21.811962708180484,Sand
36.149177195836835,24.58930973527388,24.865426961503715,Sand
33.23077999694041,30.610780985063165,19.04282186099337,Sand
46.11676288840868,25.162326302755734,23.512139546553534,Sand
50.30999522495951,12.403150170229933,20.409227144882678,Sand
49.31280119116199,17.578829635668743,19.621381503212966,Sand
31.607824767773614,26.334555745933113,21.678908920136326,Sand
36.907876241487855,16.461652671906094,18.89427303274188,Sand
43.31263431403564,22.219097140731144,20.339052083958453,Sand
49.75545127122359,23.873170267146683,18.406366322233453,Sand
35.2082576215471,15.365347642109585,27.89417539874917,Sand
38.14341023336183,19.702373219691,22.105790655915186,Sand
28.936650259939718,3.793663299654636,19.900823476022243,Sand
28.037933759193294,14.878061793328552,22.641939732202665,Sand
48.125258223941984,18.7371592430342,21.66301585092751,Sand
53.56240028570823,13.761084090175753,21.33709120140033,Sand
39.27989878419666,28.162056519658176,23.842500100130277,Sand
50.03532897892024,12.849293110196836,24.272523130141916,Sand
43.61636025047634,17.799777566515083,20.40849655716842,Sand
